行政區,里別,分隊,局編,車號,路線,車次,抵達時間,離開時間,地點,經度,緯度
中正區,南福里,南昌分隊,101-046,059-BV,南昌-1,第1車,1839,1842,臺北市中正區羅斯福路2段70號前,121.52207,25.02729
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2010,2013,臺北市中正區羅斯福路2段140號前,121.52294,25.02581
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2014,2018,臺北市中正區羅斯福路3段16號前,121.52503,25.02324
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2019,2023,臺北市中正區羅斯福路3段26號前,121.52574,25.02254
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2024,2028,臺北市中正區羅斯福路3段82號前,121.52647,25.02199
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2029,2033,臺北市中正區羅斯福路3段98號前,121.52702,25.0216
中正區,螢雪里,南昌分隊,101-046,059-BV,南昌-1,第2車,2038,2042,臺北市中正區水源路153號,121.51591,25.02359
中正區,螢雪里,南昌分隊,101-046,059-BV,南昌-1,第2車,2043,2047,臺北市中正區水源路167之3號前,121.51482,25.02413
中正區,螢雪里,南昌分隊,101-046,059-BV,南昌-1,第2車,2048,2052,臺北市中正區泉州街153號前,121.51265,25.02453
中正區,螢雪里,南昌分隊,101-046,059-BV,南昌-1,第2車,2053,2057,臺北市中正區泉州街131之5號旁,121.51316,25.0252
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2107,2111,臺北市中正區師大路144號前,121.52679,25.02092
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2112,2116,臺北市中正區師大路170號前,121.52529,25.02103
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2117,2121,臺北市中正區汀州路2段311號前,121.52474,25.02175
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2122,2127,臺北市中正區汀州路2段265號前,121.52382,25.02264
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2128,2132,臺北市中正區汀州路2段243號前,121.52301,25.02318
中正區,頂東里,南昌分隊,101-046,059-BV,南昌-1,第2車,2133,2137,臺北市中正區汀州路2段193號旁,121.52216,25.02382
中正區,板溪里,南昌分隊,101-046,059-BV,南昌-1,第2車,2138,2142,臺北市中正區汀州路2段145號前,121.5206,25.02482
中正區,板溪里,南昌分隊,101-046,059-BV,南昌-1,第2車,2143,2147,臺北市中正區汀州路2段125號前,121.51943,25.02508
中正區,螢圃里,南昌分隊,101-046,059-BV,南昌-1,第2車,2148,2152,臺北市中正區汀州路2段97號前,121.51821,25.02536
中正區,螢雪里,南昌分隊,101-046,059-BV,南昌-1,第2車,2153,2157,臺北市中正區汀州路2段53號前,121.51563,25.02597
中正區,螢雪里,南昌分隊,101-046,059-BV,南昌-1,第2車,2158,2202,臺北市中正區汀州路2段11號前,121.51448,25.02623
中正區,永功里,泉州分隊,101-047,060-BV,泉州-1,第1車,1730,1735,臺北市中正區汀州路1段239號前,121.51263,25.02665
中正區,永功里,泉州分隊,101-047,060-BV,泉州-1,第1車,1736,1740,臺北市中正區汀州路1段207號前,121.5117,25.02676
中正區,龍興里,泉州分隊,101-047,060-BV,泉州-1,第1車,1741,1755,臺北市中正區汀州路1段230號對面,121.50999,25.02747
中正區,龍興里,泉州分隊,101-047,060-BV,泉州-1,第1車,1756,1759,臺北市中正區汀州路1段123號(永義宮),121.5095,25.02819
中正區,忠勤里,泉州分隊,101-047,060-BV,泉州-1,第1車,1800,1803,臺北市中正區汀州路1段67號前,121.50805,25.02984
中正區,廈安里,泉州分隊,101-047,060-BV,泉州-1,第1車,1804,1811,臺北市中正區西藏路30號前,121.50696,25.03089
中正區,廈安里,泉州分隊,101-047,060-BV,泉州-1,第1車,1812,1814,臺北市中正區中華路2段177號前,121.5043,25.03037
中正區,廈安里,泉州分隊,101-047,060-BV,泉州-1,第1車,1815,1817,臺北市中正區中華路2段165號前,121.50426,25.03085
中正區,廈安里,泉州分隊,101-047,060-BV,泉州-1,第1車,1818,1821,臺北市中正區中華路2段151號前,121.50418,25.03133
中正區,廈安里,泉州分隊,101-047,060-BV,泉州-1,第1車,1822,1825,臺北市中正區中華路2段117號前,121.50488,25.03238
