"area_code","simple_area_name"
"IGB","工業區類"
"IG","工業區類"
"PMA","市場用地類"
"PM","市場用地類"
"C","文教用地類"
"CBB","文教用地類"
"PSD4","文教用地類"
"PSF9","文教用地類"
"CDM","文教用地類"
"CDQ","文教用地類"
"CDO","文教用地類"
"CCA","文教用地類"
"CDL","文教用地類"
"CDR","文教用地類"
"PSD3","文教用地類"
"CAA","文教用地類"
"PSF7","文教用地類"
"CDE","文教用地類"
"CDP","文教用地類"
"PSF3","文教用地類"
"CDC","文教用地類"
"CDF","文教用地類"
"CDT","文教用地類"
"PSD","文教用地類"
"CDS","文教用地類"
"CEC","文教用地類"
"PS","文教用地類"
"CDU","文教用地類"
"CBC","文教用地類"
"PSF","文教用地類"
"CDB","文教用地類"
"PSF6","文教用地類"
"PSF4","文教用地類"
"CEG","文教用地類"
"CDI","文教用地類"
"CEF","文教用地類"
"PSE","文教用地類"
"CEE","文教用地類"
"CDK","文教用地類"
"CDN","文教用地類"
"CDD","文教用地類"
"PSD2","文教用地類"
"CED","文教用地類"
"PSA","文教用地類"
"PSC","文教用地類"
"CEL","文教用地類"
"CDH","文教用地類"
"CEB","文教用地類"
"PSG","文教用地類"
"CBA","文教用地類"
"CEA1","文教用地類"
"PSF2","文教用地類"
"PSB","文教用地類"
"PG2","機關用地類"
"PGB5","機關用地類"
"PGAF","機關用地類"
"07","機關用地類"
"PGB2","機關用地類"
"PGC","機關用地類"
"PGB4","機關用地類"
"PGB3","機關用地類"
"PGAD","機關用地類"
"PGA0","機關用地類"
"PGAB","機關用地類"
"PGAE","機關用地類"
"PG","機關用地類"
"PGA3","機關用地類"
"PGAC","機關用地類"
"W","水域"
"PW1","水域"
"PEA","綠地"
"PEAB","綠地"
"PEB3","綠地"
"PEB","綠地"
"PEB2","綠地"
"PEA1","綠地"
"PFC2","設施類"
"PFA","設施類"
"PFD1","設施類"
"PFC3","設施類"
"PFB3","設施類"
"PFD2","設施類"
"PFB","設施類"
"PFE","設施類"
"PFC1","設施類"
"PFB2","設施類"
"PFB4","設施類"
"A","農業區"
"E","遊樂區"
"PHC","醫療用地類"
"PHH","醫療用地類"
"PHD","醫療用地類"
"PHI","醫療用地類"
"PHB","醫療用地類"
"L","風景區"
"PEC2","體育場"
